Director of Sales & Marketing,Sales Manager,Commissions,Director of Engagement,Driver,Engagement Associate,Executive Director,Business Office Director,Concierge,Director of Memory Care,MC Care Manager,MC Medication Care Manager,Director of Plant Operations,Plant Operations Assistant,Director of Housekeeping,Housekeeping Associate,Director of Culinary Services,Chef,Dining Room Associate,Dish Washer,MC Attendant,Director of Health & Wellness,LPN,Medication Care Manager,Care Manager
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,26.19047619047619,17.857142857142858,1.0,0.5,0.0,0.0,1.0,0.0,38.77551020408163,2.0,1.4,1.0,52.38095238095238,21.42857142857143,14.285714285714285
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,26.666666666666664,18.214285714285715,1.0,0.5,0.0,0.0,1.0,0.0,39.38775510204081,2.0,1.4,1.0,53.33333333333333,21.78571428571429,14.523809523809524
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,27.142857142857142,18.571428571428573,1.0,0.5,0.0,0.0,1.0,0.0,40.0,2.0,1.4,1.0,54.285714285714285,22.142857142857146,14.761904761904761
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,27.619047619047617,18.92857142857143,1.0,0.5,0.0,0.0,1.0,0.0,40.61224489795918,2.0,1.4,1.0,55.238095238095234,22.5,15.0
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,28.095238095238095,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,41.224489795918366,2.0,1.4,1.0,56.19047619047619,22.857142857142858,15.238095238095237
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,28.333333333333332,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,41.63265306122449,2.0,1.4,1.0,56.666666666666664,23.214285714285715,15.476190476190476
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,28.57142857142857,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,42.04081632653061,2.0,1.4,1.0,57.14285714285714,23.571428571428573,15.714285714285714
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,28.809523809523807,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,42.44897959183673,2.0,1.4,1.0,57.61904761904761,23.92857142857143,15.952380952380953
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,29.047619047619047,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,42.857142857142854,2.0,1.4,1.0,58.095238095238095,24.28571428571429,16.19047619047619
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,29.285714285714285,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,43.265306122448976,2.0,1.4,1.0,58.57142857142857,24.642857142857146,16.428571428571427
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,29.523809523809522,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,43.6734693877551,2.0,1.4,1.0,59.047619047619044,25.0,16.666666666666664
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,29.76190476190476,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,44.08163265306122,2.0,1.4,1.0,59.52380952380952,25.357142857142858,16.904761904761905
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,30.0,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,44.48979591836734,2.0,1.4,1.0,60.0,25.714285714285715,17.142857142857142
1.0,1.0,0.0,1.0,1.4,0.0,1.0,1.0,2.1,1.0,30.238095238095237,19.28571428571429,1.0,0.5,0.0,0.0,1.0,0.0,44.897959183673464,2.0,1.4,1.0,60.476190476190474,26.071428571428573,17.38095238095238
